Greedy,Greedy_1,Greedy_5,BBB_Adam_001,BBB_Adam_0001,BBB_RMS_001,BBB_RMS_0001
240.0,215.0,400.0,245.0,360.0,215.0,400.0
235.0,215.0,400.0,245.0,360.0,215.0,400.0
235.0,215.0,405.0,245.0,360.0,215.0,405.0
235.0,215.0,405.0,240.0,360.0,215.0,405.0
235.0,210.0,405.0,235.0,360.0,215.0,405.0
235.0,210.0,410.0,235.0,365.0,215.0,410.0
270.0,210.0,410.0,235.0,365.0,215.0,410.0
265.0,210.0,410.0,235.0,365.0,215.0,410.0
265.0,210.0,410.0,235.0,365.0,215.0,410.0
260.0,210.0,410.0,235.0,365.0,215.0,410.0
260.0,210.0,415.0,235.0,365.0,215.0,415.0
260.0,210.0,415.0,270.0,365.0,215.0,415.0
260.0,210.0,415.0,270.0,365.0,215.0,415.0
265.0,215.0,420.0,270.0,365.0,215.0,420.0
265.0,215.0,420.0,270.0,365.0,215.0,420.0
265.0,215.0,425.0,270.0,365.0,215.0,425.0
265.0,215.0,425.0,270.0,365.0,215.0,425.0
265.0,215.0,430.0,270.0,370.0,215.0,430.0
265.0,215.0,435.0,270.0,375.0,215.0,435.0
265.0,215.0,440.0,270.0,375.0,215.0,440.0
265.0,215.0,445.0,270.0,375.0,215.0,445.0
265.0,215.0,445.0,265.0,375.0,215.0,445.0
265.0,215.0,445.0,300.0,375.0,215.0,445.0
265.0,215.0,450.0,300.0,375.0,215.0,450.0
265.0,215.0,450.0,300.0,375.0,215.0,450.0
265.0,215.0,450.0,300.0,375.0,215.0,450.0
265.0,215.0,450.0,300.0,375.0,215.0,450.0
265.0,215.0,455.0,300.0,375.0,215.0,455.0
265.0,215.0,460.0,300.0,375.0,215.0,460.0
270.0,220.0,465.0,300.0,380.0,215.0,465.0
270.0,220.0,470.0,300.0,380.0,215.0,470.0
270.0,220.0,470.0,300.0,380.0,215.0,470.0
270.0,220.0,470.0,335.0,380.0,250.0,470.0
270.0,225.0,475.0,340.0,385.0,255.0,475.0
270.0,225.0,475.0,340.0,420.0,255.0,475.0
270.0,225.0,475.0,340.0,420.0,255.0,475.0
270.0,225.0,475.0,340.0,415.0,250.0,475.0
270.0,220.0,475.0,340.0,415.0,245.0,475.0
270.0,220.0,480.0,340.0,415.0,245.0,480.0
270.0,220.0,485.0,340.0,415.0,245.0,485.0
270.0,220.0,485.0,340.0,415.0,245.0,485.0
270.0,220.0,490.0,340.0,415.0,245.0,490.0
270.0,220.0,495.0,340.0,415.0,245.0,495.0
305.0,220.0,495.0,340.0,415.0,245.0,495.0
305.0,220.0,500.0,340.0,415.0,245.0,500.0
305.0,220.0,500.0,340.0,415.0,240.0,500.0
305.0,220.0,505.0,340.0,415.0,240.0,505.0
305.0,220.0,505.0,340.0,415.0,240.0,505.0
305.0,220.0,505.0,340.0,415.0,275.0,505.0
305.0,220.0,505.0,340.0,415.0,275.0,505.0
305.0,220.0,510.0,340.0,415.0,275.0,510.0
305.0,220.0,515.0,340.0,415.0,275.0,515.0
310.0,220.0,520.0,345.0,420.0,280.0,520.0
310.0,220.0,525.0,345.0,425.0,280.0,525.0
310.0,220.0,525.0,345.0,425.0,280.0,525.0
310.0,220.0,530.0,345.0,425.0,280.0,530.0
310.0,220.0,535.0,350.0,430.0,285.0,535.0
310.0,220.0,540.0,350.0,430.0,285.0,540.0
310.0,220.0,545.0,350.0,430.0,285.0,545.0
310.0,220.0,550.0,350.0,430.0,285.0,550.0
310.0,255.0,550.0,385.0,465.0,320.0,550.0
310.0,255.0,555.0,390.0,465.0,320.0,555.0
310.0,255.0,555.0,390.0,465.0,320.0,555.0
310.0,255.0,555.0,390.0,465.0,320.0,555.0
310.0,255.0,560.0,390.0,465.0,320.0,560.0
310.0,255.0,565.0,390.0,465.0,320.0,565.0
310.0,255.0,570.0,390.0,465.0,320.0,570.0
310.0,255.0,575.0,390.0,470.0,320.0,575.0
310.0,255.0,580.0,390.0,470.0,320.0,580.0
310.0,255.0,580.0,390.0,470.0,320.0,580.0
310.0,255.0,585.0,390.0,470.0,320.0,585.0
310.0,255.0,585.0,390.0,505.0,320.0,585.0
310.0,255.0,590.0,390.0,505.0,320.0,590.0
310.0,255.0,595.0,390.0,505.0,320.0,595.0
310.0,255.0,600.0,390.0,505.0,320.0,600.0
315.0,260.0,605.0,390.0,505.0,320.0,605.0
315.0,260.0,610.0,390.0,505.0,320.0,610.0
315.0,260.0,615.0,390.0,505.0,320.0,615.0
315.0,260.0,620.0,390.0,505.0,320.0,620.0
315.0,260.0,625.0,390.0,505.0,320.0,625.0
320.0,265.0,630.0,390.0,505.0,320.0,630.0
320.0,265.0,630.0,390.0,505.0,320.0,630.0
325.0,270.0,635.0,390.0,505.0,320.0,635.0
325.0,270.0,635.0,390.0,505.0,320.0,635.0
325.0,270.0,640.0,390.0,505.0,320.0,640.0
325.0,270.0,645.0,390.0,505.0,320.0,645.0
325.0,270.0,650.0,390.0,505.0,320.0,650.0
325.0,270.0,650.0,390.0,505.0,320.0,650.0
325.0,270.0,650.0,390.0,505.0,320.0,650.0
330.0,275.0,655.0,390.0,505.0,320.0,655.0
330.0,275.0,660.0,390.0,510.0,320.0,660.0
330.0,275.0,665.0,390.0,510.0,320.0,665.0
330.0,275.0,670.0,395.0,510.0,320.0,670.0
330.0,275.0,670.0,395.0,510.0,320.0,670.0
365.0,275.0,670.0,395.0,510.0,355.0,670.0
365.0,275.0,670.0,395.0,510.0,355.0,670.0
365.0,275.0,670.0,395.0,510.0,355.0,670.0
365.0,275.0,675.0,395.0,510.0,355.0,675.0
365.0,275.0,675.0,395.0,510.0,355.0,675.0
365.0,275.0,675.0,395.0,510.0,355.0,675.0
365.0,275.0,680.0,395.0,515.0,360.0,680.0
365.0,275.0,685.0,395.0,515.0,360.0,685.0
365.0,275.0,685.0,430.0,515.0,360.0,685.0
365.0,275.0,685.0,430.0,515.0,360.0,685.0
365.0,275.0,685.0,430.0,515.0,395.0,685.0
370.0,275.0,690.0,435.0,520.0,400.0,690.0
370.0,275.0,690.0,435.0,520.0,400.0,690.0
370.0,275.0,690.0,435.0,520.0,400.0,690.0
370.0,275.0,690.0,435.0,520.0,400.0,690.0
370.0,275.0,695.0,435.0,525.0,400.0,695.0
370.0,275.0,700.0,435.0,525.0,400.0,700.0
370.0,275.0,705.0,435.0,525.0,400.0,705.0
405.0,310.0,705.0,470.0,525.0,400.0,705.0
405.0,310.0,705.0,470.0,525.0,400.0,705.0
405.0,310.0,705.0,470.0,525.0,400.0,705.0
405.0,310.0,710.0,475.0,530.0,400.0,710.0
405.0,310.0,710.0,475.0,530.0,400.0,710.0
405.0,305.0,710.0,475.0,530.0,400.0,710.0
405.0,305.0,710.0,475.0,530.0,400.0,710.0
405.0,305.0,710.0,475.0,530.0,400.0,710.0
405.0,305.0,710.0,475.0,530.0,400.0,710.0
405.0,305.0,710.0,475.0,530.0,400.0,710.0
405.0,305.0,715.0,480.0,530.0,405.0,715.0
405.0,305.0,720.0,480.0,535.0,405.0,720.0
405.0,305.0,720.0,480.0,570.0,405.0,720.0
405.0,305.0,725.0,480.0,570.0,405.0,725.0
405.0,305.0,725.0,480.0,570.0,405.0,725.0
410.0,305.0,730.0,485.0,575.0,410.0,730.0
410.0,305.0,730.0,485.0,575.0,410.0,730.0
410.0,305.0,730.0,485.0,575.0,410.0,730.0
410.0,305.0,730.0,480.0,575.0,405.0,730.0
410.0,305.0,730.0,480.0,575.0,405.0,730.0
410.0,305.0,735.0,480.0,575.0,405.0,735.0
410.0,305.0,735.0,480.0,575.0,405.0,735.0
410.0,305.0,735.0,480.0,575.0,405.0,735.0
410.0,305.0,740.0,480.0,575.0,405.0,740.0
410.0,305.0,745.0,480.0,575.0,405.0,745.0
410.0,305.0,750.0,480.0,575.0,405.0,750.0
410.0,305.0,755.0,480.0,575.0,405.0,755.0
410.0,305.0,760.0,480.0,575.0,405.0,760.0
410.0,305.0,765.0,480.0,575.0,405.0,765.0
410.0,305.0,765.0,480.0,575.0,405.0,765.0
410.0,305.0,770.0,480.0,575.0,405.0,770.0
410.0,305.0,775.0,480.0,580.0,405.0,775.0
410.0,305.0,780.0,480.0,585.0,405.0,780.0
410.0,310.0,785.0,485.0,590.0,410.0,785.0
410.0,310.0,785.0,485.0,590.0,410.0,785.0
410.0,310.0,785.0,485.0,590.0,410.0,785.0
415.0,315.0,790.0,485.0,590.0,410.0,790.0
415.0,315.0,795.0,485.0,590.0,410.0,795.0
415.0,315.0,795.0,485.0,590.0,410.0,795.0
420.0,320.0,800.0,485.0,590.0,410.0,800.0
420.0,320.0,800.0,485.0,590.0,410.0,800.0
420.0,320.0,805.0,485.0,590.0,410.0,805.0
420.0,320.0,810.0,485.0,590.0,410.0,810.0
425.0,325.0,815.0,485.0,590.0,410.0,815.0
425.0,325.0,815.0,485.0,590.0,410.0,815.0
430.0,330.0,820.0,485.0,595.0,410.0,820.0
