epoch valid_acc test_acc train_losses
65 0,5342222222222222 0,49650000000000005 1,3831016257137596
66 0,53 0,4962 1,376824158394408
67 0,5274444444444444 0,49439999999999995 1,3801092855230777
68 0,524 0,49319999999999997 1,374412977766848
69 0,5274444444444444 0,4929 1,3755949471525089
70 0,5224444444444445 0,49019999999999997 1,3710804881449945
71 0,5245555555555556 0,4918 1,3696937978624584
72 0,5206666666666666 0,486 1,36077198225581
73 0,5185555555555555 0,4837 1,3694113471550855
74 0,5252222222222223 0,49050000000000005 1,3583270464828627
75 0,5267777777777778 0,4867999999999999 1,3612161796250029
76 0,522 0,4908 1,3628561792973273
77 0,5243333333333333 0,4829 1,3533402399388617
78 0,52 0,486 1,3549303255395262
79 0,5223333333333333 0,48729999999999996 1,3599076470928992
80 0,5247777777777778 0,48250000000000004 1,3503409731173943
81 0,5162222222222222 0,4867 1,3428823698066665
82 0,5218888888888888 0,4848 1,3441711514295933
83 0,5176666666666667 0,48729999999999996 1,3442326395097608
84 0,5164444444444445 0,4796 1,3429198222246
85 0,5212222222222223 0,4831 1,3388888500407785
86 0,5215555555555556 0,4838 1,3386232631649086
87 0,5205555555555555 0,48729999999999996 1,3323210470690698
88 0,5216666666666667 0,482 1,3311993975839216
89 0,5134444444444445 0,488 1,332811625417835
90 0,5163333333333333 0,48260000000000003 1,3288141895910937
91 0,5238888888888888 0,4867999999999999 1,3237238040941204
92 0,5167777777777778 0,4759 1,3266759300660231
93 0,5176666666666667 0,4822000000000001 1,3197395608810607
94 0,5191111111111111 0,4872000000000001 1,3205747789965419
95 0,5191111111111111 0,48539999999999994 1,3184696992714249
96 0,5138888888888888 0,48 1,3168871916696696
97 0,5165555555555555 0,48339999999999994 1,3062935710667136
98 0,5157777777777778 0,4799 1,3139605936176049
99 0,5157777777777778 0,47639999999999993 1,3120108168282194
100 0,5138888888888888 0,4758 1,3107140189159416
101 0,5162222222222222 0,47820000000000007 1,3055807023705124
102 0,5155555555555555 0,48020000000000007 1,3049087470876957
103 0,5134444444444445 0,47820000000000007 1,303236062655192
104 0,5114444444444445 0,4758 1,3008286285543156
105 0,5094444444444445 0,4721000000000001 1,302770090674212
106 0,5121111111111111 0,47929999999999995 1,303184484650275
107 0,509 0,4769 1,303798944650296
108 0,5084444444444445 0,4748 1,29638404582075
109 0,5082222222222222 0,471 1,3014435382660277
110 0,5087777777777778 0,48129999999999995 1,292548549567868
111 0,513 0,478 1,2940901471469217
112 0,5102222222222222 0,4741000000000001 1,292908866783816
113 0,5107777777777778 0,48139999999999994 1,2880642631810582
114 0,5114444444444445 0,47809999999999997 1,2905217669681162
115 0,5074444444444445 0,4741000000000001 1,2874493445464952
116 0,5098888888888888 0,48029999999999995 1,286374287690945
117 0,5078888888888888 0,47450000000000003 1,2802390786345133
118 0,5092222222222222 0,4776 1,2859706371844173
119 0,5068888888888889 0,4719 1,2777690319957848
120 0,5076666666666667 0,47629999999999995 1,2871025816766088
121 0,5047777777777778 0,47629999999999995 1,2718463950528356
122 0,5103333333333333 0,47429999999999994 1,2705665559111954
123 0,5061111111111111 0,47139999999999993 1,2739183981261568
124 0,5091111111111111 0,46939999999999993 1,2712036863772456
125 0,5056666666666667 0,46920000000000006 1,2738646022573916
126 0,503 0,4706 1,2671776770831582
127 0,5064444444444445 0,47139999999999993 1,2678320325777201
128 0,5052222222222222 0,471 1,2646224495179639
129 0,5016666666666667 0,4678 1,2654072103386154
130 0,5004444444444445 0,47029999999999994 1,2642522224052224
131 0,49922222222222223 0,4688 1,25706295838613
132 0,5045555555555555 0,4678 1,2635059995565585
133 0,49911111111111106 0,4687 1,2588888353216434
134 0,49988888888888894 0,4648 1,2565539297229515
135 0,4996666666666667 0,46720000000000006 1,2547591789040022
136 0,505 0,46520000000000006 1,2545194704375582
137 0,5032222222222222 0,47239999999999993 1,254394425960358
138 0,5 0,46499999999999997 1,2497469468744928
