,1Greedy 0.00001,2Greedy 0.00001,3Greedy 0.00001,4Greedy 0.00001,5Greedy 0.00001,6Greedy 0.00001
705,1300,615,880,960,1030,1165
706,1300,615,880,960,1030,1165
707,1300,615,880,960,1030,1165
708,1300,615,880,960,1030,1165
709,1300,615,880,960,1030,1165
710,1305,620,885,965,1035,1170
711,1305,620,885,965,1035,1170
712,1305,620,885,965,1035,1170
713,1305,620,885,965,1035,1170
714,1305,620,885,965,1035,1170
715,1305,620,885,965,1035,1170
716,1305,620,885,965,1035,1170
717,1305,620,885,965,1035,1170
718,1305,620,885,965,1035,1170
719,1305,625,885,965,1035,1175
720,1305,625,885,965,1035,1175
721,1305,625,885,965,1035,1210
722,1305,625,885,965,1035,1210
723,1305,625,885,965,1035,1210
724,1305,625,885,965,1035,1210
725,1305,625,885,965,1035,1210
726,1305,630,890,970,1040,1215
727,1305,630,890,1005,1040,1215
728,1305,630,890,1005,1040,1215
729,1305,630,890,1005,1040,1215
730,1305,630,890,1005,1040,1215
731,1305,630,890,1005,1040,1210
732,1305,630,890,1005,1040,1210
733,1305,630,890,1005,1040,1210
734,1305,630,890,1005,1040,1210
735,1305,630,890,1005,1040,1210
736,1305,630,890,1005,1040,1210
737,1305,630,890,1005,1040,1210
738,1305,630,890,1005,1040,1210
739,1305,630,890,1005,1040,1210
740,1305,630,890,1005,1040,1210
741,1305,630,890,1005,1040,1210
742,1305,630,890,1005,1040,1210
743,1305,630,890,1010,1040,1215
744,1305,630,890,1010,1040,1215
745,1305,630,890,1005,1040,1215
746,1305,630,890,1005,1040,1215
747,1340,630,890,1005,1040,1215
748,1340,630,890,1005,1040,1215
749,1340,630,890,1005,1045,1215
750,1340,630,890,1005,1045,1215
751,1340,630,890,1005,1045,1215
752,1340,630,890,1005,1045,1215
753,1340,630,885,1005,1045,1215
754,1340,630,885,1005,1045,1215
755,1340,630,885,1005,1045,1215
756,1340,630,885,1005,1045,1215
757,1340,630,885,1005,1045,1215
758,1340,630,885,1005,1045,1215
759,1340,630,885,1005,1045,1215
760,1340,630,885,1005,1045,1215
761,1340,630,885,1005,1045,1215
762,1340,630,885,1005,1045,1215
763,1340,630,885,1005,1045,1215
764,1340,630,885,1005,1045,1215
765,1340,630,885,1005,1045,1215
766,1340,630,885,1005,1045,1215
767,1340,630,885,1005,1045,1215
768,1340,630,885,1005,1045,1215
769,1340,630,885,1005,1045,1215
770,1340,630,885,1005,1045,1215
771,1340,630,885,1005,1045,1215
772,1340,630,885,1005,1045,1215
773,1340,635,890,1005,1045,1215
774,1340,635,885,1005,1045,1215
775,1340,635,885,1005,1045,1215
776,1340,635,885,1005,1045,1215
777,1340,635,885,1005,1045,1215
778,1340,635,885,1005,1045,1215
779,1340,635,885,1005,1045,1215
780,1340,635,885,1005,1045,1215
781,1345,635,890,1010,1050,1215
782,1350,640,895,1015,1055,1215
783,1350,640,895,1015,1055,1215
784,1350,640,895,1015,1055,1215
785,1350,640,895,1015,1055,1215
786,1350,640,895,1015,1055,1215
787,1350,640,895,1015,1055,1215
788,1350,640,895,1015,1055,1215
789,1350,640,895,1010,1055,1215
790,1350,640,895,1010,1055,1215
791,1350,640,895,1010,1055,1215
792,1350,640,895,1010,1055,1215
793,1350,640,895,1010,1055,1215
794,1350,640,895,1010,1055,1215
795,1350,640,895,1010,1055,1215
796,1350,675,895,1045,1055,1215
797,1350,675,895,1045,1055,1215
798,1350,675,895,1045,1055,1215
799,1350,675,895,1045,1055,1215
800,1350,675,895,1045,1055,1215
801,1350,675,895,1045,1055,1215
802,1350,675,895,1045,1055,1215
803,1350,675,895,1045,1055,1215
804,1355,680,900,1050,1060,1220
805,1355,680,900,1050,1060,1220
806,1355,680,900,1050,1060,1220
807,1355,680,900,1050,1060,1220
808,1355,680,900,1050,1060,1220
809,1355,680,900,1050,1060,1220
810,1355,680,900,1050,1060,1220
811,1355,680,900,1055,1060,1220
812,1355,680,900,1055,1060,1220
813,1355,680,900,1055,1060,1220
814,1355,680,900,1055,1060,1220
815,1355,680,900,1055,1060,1220
816,1355,680,900,1055,1060,1220
817,1355,680,900,1055,1060,1220
818,1355,680,900,1055,1060,1220
819,1355,680,895,1055,1060,1220
820,1360,680,895,1060,1060,1220
821,1360,680,900,1060,1060,1225
822,1360,680,900,1060,1060,1225
823,1360,680,900,1060,1060,1225
824,1360,675,900,1095,1060,1225
825,1360,675,900,1095,1060,1225
826,1360,675,900,1095,1060,1225
827,1360,675,900,1095,1060,1225
828,1360,675,900,1095,1060,1225
829,1360,680,905,1100,1065,1230
830,1360,680,905,1100,1065,1230
831,1360,680,905,1100,1070,1230
832,1365,680,905,1105,1070,1230
833,1365,680,940,1105,1070,1230
834,1365,680,940,1105,1070,1230
835,1365,680,940,1105,1070,1230
836,1365,680,940,1105,1070,1230
837,1365,680,940,1105,1070,1230
838,1365,680,940,1105,1070,1230
839,1360,680,940,1105,1070,1230
840,1360,680,940,1105,1070,1230
841,1360,680,940,1105,1070,1230
842,1360,680,940,1105,1070,1230
843,1360,680,940,1105,1070,1230
844,1360,680,940,1105,1070,1230
845,1360,680,940,1105,1070,1230
846,1360,680,940,1105,1070,1230
847,1360,680,940,1105,1070,1230
848,1355,680,940,1105,1070,1230
849,1355,680,940,1105,1070,1230
850,1355,680,940,1105,1070,1230
851,1360,685,945,1110,1075,1230
852,1360,685,945,1110,1075,1230
853,1360,685,945,1110,1075,1230
854,1360,685,945,1110,1075,1230
855,1360,685,945,1110,1075,1230
856,1360,685,945,1110,1075,1230
857,1360,685,945,1110,1075,1230
858,1360,685,945,1110,1075,1230
859,1360,685,945,1110,1075,1230
860,1360,685,945,1110,1075,1230
861,1360,685,945,1110,1075,1230
862,1360,685,945,1110,1075,1230
863,1360,685,945,1110,1075,1235
864,1360,685,945,1110,1075,1235
865,1360,685,945,1110,1075,1235
866,1360,685,945,1110,1075,1235
867,1360,685,945,1110,1075,1235
868,1360,685,945,1110,1075,1235
869,1360,685,945,1110,1075,1235
870,1360,685,980,1105,1075,1235
871,1360,685,980,1100,1075,1235
872,1360,685,980,1100,1075,1235
873,1360,685,980,1100,1075,1235
874,1360,685,980,1100,1075,1235
875,1360,685,980,1100,1075,1235
876,1360,685,980,1100,1075,1235
877,1360,685,980,1100,1075,1235
878,1360,685,980,1100,1075,1235
879,1360,685,980,1100,1075,1235
880,1360,690,985,1105,1080,1240
881,1360,690,985,1105,1080,1275
882,1360,690,985,1105,1080,1280
883,1360,690,985,1105,1080,1280
884,1360,690,985,1105,1080,1280
885,1360,690,985,1105,1080,1280
886,1360,690,985,1105,1080,1280
887,1360,690,985,1105,1080,1280
888,1360,690,985,1105,1080,1280
889,1360,690,985,1105,1080,1280
890,1360,690,985,1105,1080,1280
891,1360,690,985,1105,1080,1280
892,1360,690,985,1105,1080,1280
