,BBB,Greedy
552,860,1175
553,855,1175
554,855,1175
555,855,1175
556,855,1180
557,855,1185
558,855,1190
559,855,1195
560,855,1200
561,855,1200
562,855,1200
563,855,1205
564,850,1205
565,850,1205
566,845,1205
567,845,1205
568,880,1205
569,880,1210
570,880,1210
571,880,1210
572,880,1210
573,880,1210
574,880,1215
575,880,1215
576,875,1215
577,875,1215
578,875,1220
579,875,1220
580,875,1220
581,875,1220
582,875,1225
583,875,1225
584,875,1230
585,875,1230
586,875,1230
587,875,1235
588,875,1240
589,910,1240
590,910,1245
591,910,1250
592,910,1250
593,910,1255
594,910,1255
595,910,1260
596,910,1260
597,910,1260
598,910,1265
599,910,1270
600,910,1270
601,910,1270
602,905,1270
603,900,1270
604,900,1270
605,935,1270
606,935,1270
607,935,1275
608,930,1275
609,930,1275
610,930,1275
611,930,1280
612,930,1280
613,965,1280
614,965,1280
615,1000,1280
616,1000,1280
617,1000,1280
618,1000,1280
619,1000,1280
620,1000,1280
621,1000,1285
622,1000,1285
623,1000,1290
624,1000,1290
625,1000,1290
626,1000,1295
627,1000,1295
628,995,1295
629,995,1300
630,995,1300
631,995,1300
632,990,1300
633,990,1300
634,990,1305
635,1025,1305
636,1025,1305
637,1025,1305
638,1025,1310
639,1025,1315
640,1025,1315
641,1025,1315
642,1025,1320
643,1025,1325
644,1025,1325
645,1060,1325
646,1060,1325
647,1095,1325
648,1095,1325
649,1095,1325
650,1095,1330
651,1095,1330
652,1095,1330
653,1095,1330
654,1130,1330
655,1130,1330
656,1130,1335
657,1130,1335
658,1130,1340
659,1130,1340
660,1130,1345
661,1125,1345
662,1125,1345
663,1160,1345
664,1160,1350
665,1160,1350
666,1195,1350
667,1200,1355
668,1200,1355
669,1200,1355
670,1200,1360
671,1200,1360
672,1200,1360
673,1235,1360
674,1235,1365
675,1230,1365
676,1230,1370
677,1230,1370
678,1230,1370
679,1230,1370
680,1230,1370
681,1230,1370
682,1230,1370
683,1230,1370
684,1230,1375
685,1230,1375
686,1225,1375
687,1220,1375
688,1220,1375
689,1220,1380
690,1220,1380
691,1220,1380
692,1220,1380
693,1215,1380
694,1215,1380
695,1215,1385
696,1215,1385
697,1215,1385
698,1215,1385
699,1215,1385
700,1215,1385
701,1250,1385
702,1250,1385
703,1250,1385
704,1250,1385
705,1250,1385
706,1250,1385
707,1250,1390
708,1250,1390
709,1285,1390
710,1285,1390
711,1285,1390
712,1285,1390
713,1285,1390
714,1285,1390
715,1285,1395
716,1285,1395
717,1285,1395
718,1280,1395
719,1280,1395
720,1275,1395
721,1310,1395
722,1310,1395
723,1310,1395
724,1310,1395
725,1310,1400
726,1310,1400
727,1310,1400
728,1345,1400
729,1345,1400
730,1345,1400
731,1345,1400
732,1345,1400
733,1345,1405
734,1345,1410
735,1345,1410
736,1345,1410
737,1345,1410
738,1345,1410
739,1345,1410
740,1345,1410
741,1345,1410
742,1340,1410
743,1340,1410
744,1335,1410
745,1335,1410
746,1335,1410
747,1335,1415
748,1335,1415
749,1335,1415
750,1335,1420
751,1335,1420
752,1370,1420
753,1370,1425
754,1370,1425
755,1370,1425
756,1370,1425
757,1365,1425
758,1365,1425
759,1365,1425
760,1365,1425
761,1400,1425
762,1400,1425
763,1400,1425
764,1400,1425
765,1400,1425
766,1400,1425
767,1400,1425
768,1400,1430
769,1400,1430
