,1% Greedy,5% Greedy,BBB,Greedy
371,1000,1010,1050,1030
372,1005,1010,1055,1035
373,1005,1010,1055,1035
374,1010,1015,1060,1040
375,1010,1015,1060,1040
376,1010,1015,1060,1040
377,1015,1020,1065,1045
378,1015,1020,1065,1045
379,1020,1025,1070,1050
380,1025,1030,1075,1055
381,1025,1030,1075,1055
382,1025,1030,1075,1055
383,1025,1030,1075,1055
384,1025,1030,1075,1055
385,1025,1030,1075,1055
386,1030,1035,1080,1060
387,1035,1040,1085,1065
388,1035,1040,1085,1065
389,1035,1040,1090,1070
390,1035,1045,1095,1075
391,1040,1050,1100,1080
392,1040,1050,1100,1080
393,1045,1050,1105,1085
394,1050,1055,1110,1090
395,1050,1055,1110,1090
396,1050,1055,1110,1090
397,1050,1055,1110,1090
398,1050,1055,1110,1090
399,1055,1060,1115,1095
400,1055,1060,1115,1095
401,1060,1065,1120,1100
402,1065,1070,1125,1105
403,1065,1075,1130,1110
404,1065,1075,1130,1110
405,1065,1075,1130,1110
406,1065,1080,1135,1115
407,1065,1080,1135,1115
408,1065,1080,1135,1115
409,1070,1085,1140,1120
410,1070,1085,1140,1120
411,1070,1085,1140,1120
412,1070,1085,1140,1120
413,1070,1085,1140,1120
414,1070,1085,1140,1120
415,1070,1085,1140,1120
416,1070,1085,1140,1120
417,1070,1090,1145,1125
418,1070,1090,1145,1125
419,1075,1095,1150,1130
420,1075,1100,1155,1135
421,1075,1100,1155,1135
422,1075,1100,1155,1135
423,1075,1105,1160,1140
424,1075,1105,1160,1140
425,1075,1105,1160,1140
426,1075,1105,1160,1140
427,1080,1110,1165,1145
428,1080,1110,1165,1145
429,1080,1110,1165,1145
430,1080,1110,1165,1145
431,1080,1110,1165,1145
432,1080,1110,1170,1150
433,1080,1110,1170,1150
434,1085,1115,1175,1155
435,1090,1120,1180,1160
436,1095,1125,1185,1165
437,1095,1130,1190,1170
438,1095,1130,1195,1175
439,1100,1130,1200,1180
440,1100,1135,1205,1185
441,1100,1135,1205,1185
442,1100,1140,1210,1190
443,1100,1140,1210,1190
444,1100,1140,1210,1190
445,1100,1140,1210,1190
446,1100,1145,1215,1195
447,1100,1150,1220,1200
448,1105,1150,1225,1205
449,1105,1150,1225,1205
450,1105,1150,1225,1205
451,1110,1155,1230,1210
452,1110,1155,1230,1210
453,1110,1155,1230,1210
454,1115,1155,1235,1215
455,1115,1155,1235,1215
456,1115,1160,1240,1220
457,1120,1165,1245,1225
458,1125,1170,1250,1230
459,1125,1175,1255,1235
460,1125,1175,1255,1235
461,1125,1175,1255,1235
462,1130,1180,1260,1240
463,1130,1180,1260,1240
464,1130,1180,1260,1240
465,1135,1185,1265,1245
466,1135,1190,1270,1250
467,1135,1190,1270,1250
468,1135,1190,1270,1250
469,1135,1190,1270,1250
470,1135,1190,1270,1250
471,1140,1195,1275,1255
472,1140,1195,1275,1255
473,1145,1200,1280,1260
474,1150,1205,1285,1265
475,1150,1205,1285,1265
476,1150,1240,1285,1265
477,1155,1245,1290,1270
478,1155,1250,1295,1275
479,1160,1255,1300,1280
480,1160,1255,1305,1285
481,1160,1255,1305,1285
482,1160,1255,1305,1285
483,1160,1255,1305,1285
484,1160,1255,1305,1285
485,1165,1255,1310,1290
486,1165,1255,1310,1290
487,1165,1255,1310,1290
488,1165,1260,1315,1295
489,1165,1260,1315,1295
490,1165,1260,1315,1295
491,1170,1265,1320,1300
492,1170,1265,1320,1300
493,1170,1270,1325,1305
494,1170,1270,1325,1305
495,1170,1270,1330,1310
496,1170,1270,1330,1310
497,1170,1270,1330,1310
498,1170,1275,1335,1315
499,1175,1280,1340,1320
500,1180,1285,1345,1325
501,1185,1290,1350,1330
502,1185,1290,1350,1330
503,1190,1295,1355,1335
504,1190,1295,1360,1340
505,1190,1300,1365,1345
506,1190,1305,1370,1350
507,1190,1305,1370,1350
508,1190,1310,1375,1355
509,1190,1315,1380,1360
510,1190,1315,1380,1360
511,1195,1320,1385,1365
512,1195,1320,1385,1365
513,1195,1320,1385,1365
514,1195,1320,1385,1365
515,1195,1325,1390,1370
516,1195,1325,1390,1370
517,1195,1330,1395,1375
518,1200,1335,1400,1380
519,1200,1335,1400,1380
520,1205,1340,1405,1385
521,1205,1340,1405,1385
522,1205,1340,1405,1385
523,1205,1340,1405,1385
524,1210,1345,1410,1390
525,1215,1350,1415,1395
526,1215,1350,1415,1395
527,1215,1350,1415,1395
528,1215,1355,1420,1400
529,1215,1355,1425,1405
530,1215,1355,1425,1405
531,1215,1355,1425,1405
532,1220,1360,1430,1410
533,1220,1360,1430,1410
534,1220,1360,1430,1410
535,1220,1365,1435,1415
536,1220,1365,1435,1415
537,1225,1370,1440,1420
538,1230,1375,1445,1425
539,1235,1375,1450,1430
540,1240,1380,1455,1435
541,1245,1385,1460,1440
542,1245,1385,1460,1440
543,1245,1385,1460,1440
544,1245,1385,1460,1440
545,1250,1390,1465,1445
546,1250,1395,1470,1450
547,1255,1400,1475,1455
548,1260,1405,1480,1460
549,1260,1405,1485,1465
550,1260,1405,1485,1465
551,1260,1410,1490,1470
552,1265,1415,1495,1475
553,1265,1415,1500,1475
554,1265,1420,1505,1480
555,1270,1425,1510,1485
556,1270,1425,1510,1485
557,1270,1425,1510,1485
558,1275,1430,1515,1490
559,1280,1435,1520,1495
560,1280,1435,1520,1495
561,1280,1435,1520,1495
562,1280,1435,1520,1495
563,1280,1440,1525,1500
564,1285,1445,1530,1505
565,1285,1445,1530,1505
