	Steps	Greedy	1% Greedy	5% Greedy	BBB		 BBB (All Steps)
Step	3370	4665	5070	4910	1055		485
Step	3380	4665	5070	4910	1055		485
Step	3390	4665	5075	4910	1055		485
Step	3400	4670	5080	4915	1055		485
Step	3410	4675	5085	4990	1055		485
Step	3420	4685	5100	5005	1060		485
Step	3430	4690	5105	5045	1060		485
Step	3440	4695	5110	5045	1060		485
Step	3450	4695	5110	5045	1065		485
Step	3460	4700	5115	5050	1065		485
Step	3470	4700	5115	5055	1065		485
Step	3480	4700	5120	5070	1065		485
Step	3490	4700	5125	5075	1065		490
Step	3500	4700	5125	5075	1060		490
Step	3510	4700	5125	5075	1060		490
Step	3520	4700	5125	5075	1060		490
Step	3530	4710	5130	5085	1055		490
Step	3540	4715	5135	5085	1055		490
Step	3550	4720	5140	5125	1055		490
Step	3560	4730	5150	5135	1055		490
Step	3570	4760	5145	5135	1055		490
Step	3580	4765	5150	5140	1055		490
Step	3590	4765	5150	5140	1055		490
Step	3600	4765	5155	5145	1055		490
Step	3610	4765	5160	5150	1055		490
Step	3620	4760	5165	5150	1050		490
Step	3630	4760	5165	5150	1045		490
Step	3640	4770	5175	5160	1045		490
Step	3650	4770	5175	5160	1045		490
Step	3660	4770	5175	5160	1080		490
Step	3670	4770	5175	5165	1080		490
Step	3680	4810	5180	5170	1080		490
Step	3690	4820	5190	5180	1080		490
Step	3700	4830	5200	5190	1080		490
Step	3710	4830	5200	5190	1080		490
Step	3720	4835	5210	5200	1080		490
Step	3730	4835	5215	5205	1085		490
Step	3740	4835	5220	5210	1085		490
Step	3750	4870	5225	5215	1085		490
Step	3760	4875	5230	5220	1085		490
Step	3770	4880	5235	5225	1085		490
Step	3780	4890	5245	5235	1085		490
Step	3790	4900	5265	5250	1085		490
Step	3800	4900	5270	5255	1120		490
Step	3810	4900	5275	5260	1120		490
Step	3820	4900	5275	5255	1115		490
Step	3830	4905	5280	5260	1115		490
Step	3840	4905	5280	5260	1115		490
Step	3850	4910	5285	5265	1115		490
Step	3860	4915	5290	5270	1105		490
Step	3870	4950	5295	5275	1105		490
Step	3880	4950	5295	5275	1140		490
Step	3890	4985	5305	5285	1140		490
Step	3900	4985	5305	5285	1140		490
Step	3910	4990	5310	5325	1140		490
Step	3920	4990	5310	5325	1140		490
Step	3930	4990	5310	5325	1140		490
Step	3940	4990	5310	5325	1140		490
Step	3950	4990	5315	5325	1140		525
Step	3960	4990	5320	5330	1175		525
Step	3970	4985	5320	5330	1175		525
Step	3980	4985	5330	5340	1175		525
Step	3990	4985	5330	5340	1175		525
Step	4000	4985	5335	5345	1175		525
Step	4010	4980	5330	5345	1175		525
Step	4020	4980	5340	5355	1210		525
Step	4030	5020	5345	5365	1210		525
Step	4040	5025	5360	5380	1210		525
Step	4050	5060	5360	5380	1210		525
Step	4060	5060	5360	5385	1210		525
Step	4070	5100	5370	5395	1210		525
Step	4080	5105	5375	5400	1215		525
Step	4090	5110	5375	5405	1215		525
Step	4100	5115	5385	5415	1215		525
Step	4110	5115	5385	5415	1250		525
Step	4120	5110	5390	5420	1250		525
Step	4130	5110	5390	5415	1250		530
Step	4140	5115	5395	5420	1250		530
Step	4150	5115	5395	5420	1250		530
Step	4160	5120	5400	5425	1250		530
Step	4170	5125	5405	5430	1255		530
Step	4180	5125	5405	5430	1255		530
Step	4190	5125	5410	5430	1255		530
Step	4200	5125	5410	5435	1255		530
Step	4210	5130	5420	5450	1255		530
Step	4220	5130	5420	5450	1255		530
Step	4230	5130	5420	5455	1255		530
Step	4240	5130	5420	5490	1260		530
