,5%Greedy_1 0.0001,5%Greedy_2 0.0001,5%Greedy_3 0.0001,5%Greedy_4 0.0001,5%Greedy_5 0.0001,5%Greedy_6 0.0001,5%Greedy_7 0.0001
441,1090,1045,1445,1230,1035,1310,1530
442,1090,1045,1450,1235,1040,1315,1535
443,1095,1045,1450,1240,1040,1320,1535
444,1095,1045,1450,1240,1040,1320,1535
445,1100,1045,1455,1245,1040,1325,1540
446,1135,1045,1455,1245,1040,1325,1540
447,1135,1045,1455,1245,1040,1325,1540
448,1135,1045,1455,1245,1040,1325,1540
449,1135,1045,1455,1245,1040,1325,1540
450,1135,1045,1455,1245,1040,1325,1540
451,1135,1050,1460,1250,1045,1330,1545
452,1135,1050,1460,1250,1045,1335,1550
453,1135,1050,1460,1250,1045,1335,1550
454,1130,1050,1460,1250,1045,1335,1550
455,1165,1050,1460,1245,1045,1335,1550
456,1165,1055,1465,1250,1050,1340,1555
457,1165,1055,1465,1255,1055,1345,1560
458,1165,1055,1500,1255,1055,1345,1560
459,1165,1055,1500,1255,1055,1345,1560
460,1165,1055,1500,1255,1055,1345,1560
461,1165,1055,1500,1255,1090,1340,1560
462,1165,1055,1500,1255,1090,1340,1560
463,1160,1055,1500,1255,1090,1340,1560
464,1165,1060,1500,1260,1095,1345,1565
465,1165,1065,1505,1265,1100,1350,1570
466,1165,1070,1510,1270,1100,1355,1575
467,1165,1070,1505,1270,1100,1355,1575
468,1170,1075,1510,1275,1100,1360,1580
469,1170,1075,1510,1275,1100,1360,1580
470,1205,1075,1510,1275,1135,1360,1580
471,1210,1075,1515,1280,1135,1365,1585
472,1210,1075,1515,1280,1135,1365,1585
473,1210,1075,1515,1280,1135,1365,1585
474,1210,1075,1520,1285,1140,1370,1590
475,1210,1075,1555,1285,1135,1370,1590
476,1215,1080,1555,1290,1140,1375,1590
477,1215,1080,1555,1290,1140,1375,1590
478,1250,1080,1555,1290,1140,1375,1625
479,1250,1080,1555,1290,1140,1375,1625
480,1250,1080,1555,1290,1140,1375,1625
481,1250,1080,1560,1295,1140,1380,1630
482,1250,1080,1565,1300,1140,1380,1635
483,1250,1080,1565,1300,1140,1380,1635
484,1250,1080,1565,1300,1140,1380,1635
485,1245,1080,1565,1300,1140,1380,1635
486,1245,1080,1565,1300,1140,1380,1635
487,1245,1080,1565,1300,1140,1380,1635
488,1250,1085,1570,1305,1140,1385,1635
489,1255,1090,1575,1310,1145,1385,1640
490,1290,1090,1575,1310,1145,1385,1640
491,1295,1095,1580,1315,1145,1390,1645
492,1295,1095,1580,1315,1145,1390,1645
493,1295,1095,1575,1315,1145,1390,1680
494,1295,1095,1580,1320,1145,1395,1685
495,1300,1100,1580,1325,1150,1395,1685
496,1335,1100,1580,1325,1150,1395,1685
497,1335,1100,1580,1325,1150,1395,1685
498,1335,1100,1580,1325,1150,1395,1685
499,1370,1135,1580,1325,1150,1395,1685
500,1375,1140,1585,1330,1155,1400,1690
501,1375,1145,1585,1335,1155,1405,1695
502,1380,1150,1590,1340,1155,1410,1700
503,1380,1150,1625,1340,1155,1410,1700
504,1380,1150,1625,1340,1155,1410,1700
505,1380,1155,1630,1345,1155,1415,1705
506,1385,1160,1630,1350,1160,1420,1710
507,1385,1160,1630,1350,1160,1455,1710
508,1385,1160,1630,1350,1160,1455,1710
509,1385,1160,1630,1350,1160,1455,1710
510,1385,1160,1630,1350,1160,1455,1710
511,1385,1160,1635,1355,1160,1460,1715
512,1385,1160,1635,1355,1160,1455,1715
513,1385,1160,1635,1360,1160,1460,1720
514,1385,1160,1635,1360,1160,1460,1720
515,1390,1165,1635,1365,1165,1465,1725
516,1390,1170,1640,1370,1170,1470,1730
517,1390,1175,1645,1375,1170,1475,1735
518,1390,1180,1650,1380,1170,1480,1740
519,1390,1180,1655,1385,1175,1485,1745
520,1390,1180,1655,1385,1175,1485,1745
521,1390,1185,1660,1390,1175,1490,1750
522,1385,1185,1660,1390,1175,1490,1750
523,1385,1185,1665,1395,1180,1495,1755
524,1390,1190,1670,1400,1180,1500,1755
525,1390,1190,1670,1400,1180,1500,1755
526,1395,1195,1670,1405,1180,1505,1760
527,1395,1195,1705,1405,1180,1505,1760
528,1395,1195,1705,1405,1180,1540,1760
