epoch valid_acc test_acc train_losses
94 0,11299999999999999 0,12420000000000009 0,34891403794288633
95 0,11170000000000002 0,12239999999999995 0,3465814104303718
96 0,11599999999999999 0,1269 0,346844082698226
97 0,11080000000000001 0,123 0,34397515811026097
98 0,11250000000000004 0,12390000000000001 0,34372327003628017
99 0,10999999999999999 0,12220000000000009 0,34536421235650777
100 0,11129999999999995 0,12220000000000009 0,34294460728764536
101 0,11399999999999999 0,12279999999999991 0,3434262220561504
102 0,11239999999999994 0,12470000000000003 0,34105254389345646
103 0,11570000000000003 0,1261 0,3370927049219608
104 0,10950000000000004 0,11939999999999995 0,3388142229616642
105 0,11229999999999996 0,12450000000000006 0,33919443618506195
106 0,11239999999999994 0,12320000000000009 0,33964311130344865
107 0,10750000000000004 0,12050000000000005 0,33648354895412924
108 0,10950000000000004 0,12139999999999995 0,33956517081707716
109 0,11080000000000001 0,12350000000000005 0,33810591854155064
110 0,1069 0,12050000000000005 0,3369044680893421
111 0,10820000000000007 0,12139999999999995 0,33649351246654985
112 0,11099999999999999 0,12309999999999999 0,3341363988444209
113 0,1078 0,11920000000000008 0,3364930286630988
114 0,11120000000000008 0,122 0,33490994773805144
115 0,11320000000000008 0,12549999999999994 0,3338633488491178
116 0,10639999999999994 0,11950000000000005 0,3328401490673423
117 0,10960000000000003 0,12070000000000003 0,3333452877961099
118 0,10860000000000003 0,12150000000000005 0,33593450747430326
119 0,1049 0,118 0,33140420213341715
120 0,10760000000000003 0,1199 0,33029774598777295
121 0,1089 0,11950000000000005 0,33329617496579883
122 0,11129999999999995 0,122 0,3280153739824891
123 0,10639999999999994 0,11829999999999996 0,32950483057647945
124 0,10620000000000007 0,1187999999999999 0,3283516786620021
125 0,10720000000000007 0,12060000000000004 0,3271107730269432
126 0,1109 0,12260000000000004 0,3300660790503025
127 0,11029999999999995 0,12309999999999999 0,3273261370882392
128 0,1089 0,12009999999999998 0,32828060135245324
129 0,1099 0,12060000000000004 0,32837160911411045
130 0,1069 0,11939999999999995 0,3263181333988905
131 0,10570000000000002 0,11850000000000005 0,32455421674996615
132 0,10499999999999998 0,11839999999999995 0,32573661498725415
133 0,10429999999999995 0,11660000000000004 0,3267431988939643
134 0,10509999999999997 0,1169 0,32580974102020266
135 0,10829999999999995 0,12290000000000001 0,32235126186162233
136 0,10609999999999997 0,11909999999999998 0,32632026582956314
137 0,10560000000000003 0,119 0,32300667367875574
138 0,10660000000000003 0,11870000000000003 0,3188485325500369
139 0,1059 0,11670000000000003 0,32181089036166666
140 0,10699999999999998 0,1187999999999999 0,31824763961136343
141 0,10629999999999995 0,11909999999999998 0,318153265491128
142 0,1069 0,11870000000000003 0,3183144783228636
143 0,1099 0,11939999999999995 0,31804105039685965
144 0,10550000000000004 0,118 0,3189563598483801
145 0,10499999999999998 0,11650000000000005 0,3150887693837285
146 0,10880000000000001 0,11939999999999995 0,3199764971062541
147 0,10529999999999995 0,11660000000000004 0,3138484736904502
148 0,1069 0,11809999999999998 0,3150332587212324
149 0,1038 0,11629999999999996 0,31690064430236814
150 0,10539999999999994 0,11629999999999996 0,3134865366667509
151 0,1078 0,12060000000000004 0,3139652467146516
152 0,1078 0,11850000000000005 0,3121192518249154
153 0,1069 0,1189 0,3148794801160693
154 0,1078 0,11820000000000008 0,31361057158559563
155 0,10770000000000002 0,11729999999999996 0,3134757796674967
156 0,10450000000000004 0,11670000000000003 0,31483831532299517
157 0,10529999999999995 0,11560000000000004 0,3071239958330989
158 0,10460000000000003 0,11529999999999996 0,3118747590109706
159 0,10439999999999994 0,1159 0,3108148299157619
160 0,10550000000000004 0,11539999999999995 0,31066628981381655
161 0,10199999999999998 0,11429999999999996 0,3129066974297166
162 0,10060000000000002 0,11339999999999995 0,31005706891417506
163 0,1038 0,11570000000000003 0,3111931956186891
164 0,10409999999999997 0,11550000000000005 0,30933446578681467
165 0,10260000000000002 0,11450000000000005 0,3086486413702369
166 0,1028 0,11529999999999996 0,3046515231207013
167 0,10299999999999998 0,11660000000000004 0,3062434397265315
168 0,09960000000000002 0,11250000000000004 0,305914178751409
169 0,10599999999999998 0,11470000000000002 0,3047251957654953
170 0,10250000000000004 0,11550000000000005 0,3068996300548315
171 0,1038 0,1159 0,3065099799633026
172 0,10439999999999994 0,11570000000000003 0,3055272036418319
173 0,10209999999999997 0,11409999999999998 0,3039570068567991
174 0,10429999999999995 0,11529999999999996 0,30515715055167675
175 0,10289999999999999 0,11439999999999995 0,3057480712607503
176 0,10250000000000004 0,11420000000000008 0,30514900512993337
177 0,09950000000000003 0,11409999999999998 0,30398351173847915
