epoch,valid_acc,test_acc,train_losses
70,2.01,2.06,27463.5703125
71,1.97,2.13,27462.38671875
72,2.02,2.15,27452.537109375
73,2.06,2.09,27447.015625
74,2.16,2.04,27434.2890625
75,2.08,1.99,27425.046875
76,1.98,2.13,27425.626953125
77,1.96,1.99,27410.349609375
78,2.11,2.09,27406.5625
79,2.05,1.99,27396.62109375
80,2.05,1.99,27395.568359375
81,2.06,1.94,27384.58984375
82,2.0,2.05,27376.58203125
83,1.96,1.98,27381.30859375
84,1.9,1.94,27371.390625
85,1.91,2.13,27368.658203125
86,1.99,1.98,27359.447265625
87,1.96,1.99,27352.78515625
88,2.06,1.98,27345.486328125
89,1.98,1.9,27332.83984375
90,1.91,1.97,27333.630859375
91,1.95,1.99,27324.744140625
92,2.05,2.01,27320.3046875
93,2.0,2.21,27308.703125
94,2.09,2.0,27306.9453125
95,2.02,1.96,27300.697265625
96,2.1,1.81,27298.287109375
97,2.0,2.08,27287.765625
98,2.07,2.11,27279.63671875
99,2.01,1.96,27281.32421875
100,1.97,2.27,27266.6796875
101,1.98,2.04,27259.40625
102,1.95,1.99,27258.04296875
103,2.06,1.94,27246.076171875
104,2.02,1.87,27242.96484375
105,2.08,1.98,27233.3359375
106,1.98,1.99,27229.130859375
107,2.03,2.0,27227.611328125
108,1.97,1.99,27218.3046875
109,2.03,2.02,27207.091796875
110,2.02,1.87,27206.96484375
111,2.01,1.94,27194.6640625
112,2.0,2.0,27190.125
113,1.94,2.13,27179.02734375
114,2.06,2.0,27181.83984375
115,2.06,2.22,27164.603515625
116,2.05,2.14,27168.375
117,2.12,1.86,27151.23828125
118,2.11,2.08,27141.29296875
119,2.12,2.09,27152.328125
120,2.07,2.09,27133.466796875
121,2.04,1.87,27126.37890625
122,2.09,1.97,27134.923828125
123,2.01,1.92,27113.158203125
124,2.2,1.99,27114.291015625
125,1.91,1.97,27109.921875
126,1.96,2.11,27102.291015625
127,1.99,2.05,27091.21484375
128,2.13,2.08,27088.802734375
129,1.98,1.94,27081.23046875
130,1.91,1.91,27082.037109375
131,2.0,1.97,27066.46484375
132,2.18,2.01,27054.50390625
133,2.02,2.03,27049.7578125
134,2.09,2.17,27051.138671875
135,2.01,2.02,27036.294921875
136,2.06,2.14,27032.70703125
137,2.09,1.89,27025.427734375
138,2.03,1.99,27021.1640625
139,2.06,1.88,27020.859375
140,1.98,1.9,27011.19140625
141,1.99,1.93,27000.380859375
142,1.99,1.99,26993.841796875
143,1.97,1.86,26985.494140625
144,2.05,1.79,26983.53515625
145,1.96,1.91,26978.42578125
146,1.97,1.83,26976.61328125
147,2.17,2.02,26962.24609375
148,1.98,1.93,26959.482421875
149,1.99,1.97,26954.591796875
150,2.14,2.04,26944.568359375
151,2.11,1.99,26933.671875
152,2.01,1.91,26931.388671875
153,2.25,2.38,26931.427734375
154,1.97,2.03,26920.486328125
155,2.01,1.97,26917.18359375
156,1.98,1.91,26900.384765625
157,1.99,1.84,26898.919921875
158,2.08,2.12,26891.794921875
159,2.15,1.96,26883.423828125
160,2.04,1.99,26877.60546875
161,2.06,1.93,26877.193359375
162,2.02,1.87,26867.017578125
163,2.0,2.04,26862.365234375
164,1.9,1.97,26858.54296875
165,2.0,2.12,26850.72265625
166,2.12,2.04,26837.26953125
167,2.0,1.96,26836.12109375
168,1.99,1.91,26832.34375
169,1.93,2.02,26821.064453125
170,1.94,1.84,26816.236328125
171,2.04,2.04,26814.900390625
172,2.09,2.09,26801.82421875
173,2.1,2.09,26795.216796875
174,2.02,1.81,26781.673828125
175,1.92,1.93,26777.03125
176,1.97,2.19,26773.716796875
177,2.05,1.98,26776.833984375
178,1.97,2.01,26756.826171875
179,2.11,1.84,26754.892578125
180,2.05,2.02,26747.166015625
181,2.04,1.89,26741.384765625
182,2.11,2.07,26748.35546875
183,1.94,1.9,26731.61328125
184,1.96,2.04,26724.404296875
185,1.89,2.08,26720.802734375
186,1.97,1.94,26710.365234375
187,2.12,2.04,26710.3984375
188,2.07,1.94,26697.619140625
