epoch 1200_dropout 1200_mlp 1200_bbb
307 0.4343 0.4005 0.4343
308 0.4273 0.4111 0.4294
309 0.4273 0.4129 0.4328
310 0.4302 0.4086 0.4355
311 0.4296 0.4034 0.4362
312 0.4291 0.4095 0.4321
313 0.4313 0.4114 0.4257
314 0.4226 0.4068 0.4313
315 0.4293 0.4098 0.4311
316 0.4264 0.4064 0.4354
317 0.4306 0.41 0.4339
318 0.4209 0.4084 0.4295
319 0.4232 0.4113 0.4336
320 0.4215 0.4054 0.4357
321 0.4233 0.407 0.4358
322 0.425 0.4076 0.4338
323 0.4302 0.41 0.4368
324 0.4291 0.402 0.4331
325 0.4283 0.4082 0.4291
326 0.4255 0.4085 0.4356
327 0.4268 0.4026 0.43
328 0.4223 0.4091 0.4317
329 0.4239 0.4087 0.4251
330 0.4259 0.4089 0.4311
331 0.43 0.4077 0.4353
332 0.4319 0.4096 0.4294
333 0.427 0.4089 0.4365
334 0.4277 0.4103 0.4342
335 0.4281 0.4093 0.4439
336 0.4255 0.4125 0.4304
337 0.4188 0.4082 0.431
338 0.4239 0.4096 0.429
339 0.4254 0.4043 0.4326
340 0.4229 0.412 0.4359
341 0.4206 0.4093 0.4346
342 0.4244 0.4098 0.4386
343 0.4243 0.4107 0.4316
344 0.4193 0.4047 0.4249
345 0.424 0.4086 0.4292
346 0.4194 0.4084 0.4279
347 0.4241 0.412 0.4328
348 0.4277 0.412 0.4368
349 0.4186 0.4076 0.4336
350 0.422 0.4098 0.4424
351 0.4201 0.4124 0.4378
352 0.4184 0.4037 0.4395
353 0.4202 0.4106 0.438
354 0.4163 0.4088 0.4356
355 0.4158 0.4048 0.4364
356 0.4215 0.4085 0.4413
357 0.42 0.4081 0.4379
358 0.4183 0.4078 0.431
359 0.4178 0.4069 0.4348
360 0.4151 0.4082 0.4343
361 0.4272 0.4083 0.4436
362 0.4197 0.4086 0.4298
363 0.4159 0.4045 0.4332
364 0.4188 0.406 0.4416
365 0.42 0.4078 0.4363
366 0.4204 0.4115 0.434
367 0.4157 0.4076 0.4385
368 0.4202 0.4084 0.4313
369 0.4155 0.4071 0.4403
370 0.4237 0.4057 0.4455
371 0.4207 0.4023 0.4356
372 0.4207 0.4113 0.4436
373 0.417 0.4064 0.4327
374 0.4199 0.4093 0.4448
375 0.4153 0.4088 0.4352
376 0.416 0.4065 0.4416
377 0.4119 0.4102 0.4331
378 0.4115 0.4049 0.4278
379 0.4152 0.4067 0.4296
380 0.4169 0.4051 0.4278
381 0.4225 0.4064 0.4293
382 0.4178 0.4105 0.4283
383 0.4148 0.4082 0.4306
384 0.4158 0.4094 0.4314
385 0.4173 0.411 0.4339
386 0.4156 0.4075 0.4216
387 0.4147 0.4083 0.428
388 0.421 0.4067 0.4326
389 0.4172 0.4093 0.4321
390 0.4137 0.4119 0.435
391 0.4165 0.4135 0.4258
392 0.4113 0.4059 0.4312
393 0.4143 0.4122 0.4292
394 0.4159 0.4139 0.4255
395 0.4112 0.4067 0.4228
396 0.4179 0.4078 0.4273
397 0.4184 0.4059 0.431
398 0.4153 0.4097 0.4276
399 0.4103 0.4082 0.4268
400 0.4195 0.4065 0.4296
401 0.4162 0.4083 0.4299
402 0.4065 0.4039 0.4217
403 0.4131 0.4107 0.4339
404 0.4172 0.4108 0.4301
405 0.4095 0.4063 0.4261
406 0.4127 0.4118 0.425
407 0.41 0.4059 0.4298
408 0.4177 0.4084 0.441
409 0.4119 0.4066 0.4334
410 0.4137 0.4087 0.4353
411 0.4095 0.4062 0.4342
412 0.4154 0.4055 0.4398
413 0.4102 0.409 0.4318
414 0.4129 0.4043 0.4391
415 0.4118 0.4106 0.4323
416 0.4113 0.4056 0.433
417 0.4151 0.4064 0.4332
418 0.4092 0.4055 0.431
419 0.4107 0.409 0.4362
420 0.4149 0.4089 0.4297
421 0.4095 0.407 0.4385
422 0.4107 0.412 0.4309
423 0.4111 0.4089 0.4299
424 0.4128 0.4051 0.4368
425 0.4098 0.411 0.4357
426 0.4129 0.4073 0.4362
427 0.4116 0.4041 0.4365
428 0.4091 0.4037 0.4292
429 0.409 0.4052 0.4287
430 0.4122 0.4099 0.4341
431 0.4103 0.4081 0.4314
432 0.4091 0.4092 0.4337
433 0.4059 0.4088 0.4371
434 0.4155 0.4079 0.4312
435 0.4097 0.4073 0.4332
436 0.4092 0.4064 0.4297
437 0.4103 0.4041 0.4239
438 0.4093 0.4054 0.4317
439 0.4134 0.4073 0.4336
440 0.4102 0.4023 0.4358
441 0.4085 0.4067 0.4341
442 0.411 0.408 0.4282
443 0.4088 0.4105 0.4274
444 0.4084 0.4086 0.4281
445 0.4043 0.4017 0.4332
446 0.4161 0.4021 0.4263
447 0.4088 0.4103 0.4293
448 0.4112 0.4093 0.4339
449 0.4101 0.4062 0.4277
450 0.4078 0.4107 0.4217
451 0.4122 0.412 0.4313
452 0.4118 0.4082 0.43
453 0.4046 0.4102 0.4285
454 0.4043 0.4097 0.4257
455 0.4093 0.4095 0.4288
456 0.4065 0.4121 0.4345
457 0.405 0.4106 0.4369
458 0.4088 0.4121 0.4295
459 0.4072 0.4082 0.4447
460 0.4073 0.4071 0.4342
461 0.411 0.4046 0.4386
462 0.4053 0.4038 0.4363
463 0.4089 0.4144 0.4297
464 0.4045 0.4106 0.4317
465 0.41 0.4105 0.4367
466 0.4096 0.4086 0.4357
467 0.4062 0.4029 0.4313
468 0.4085 0.4094 0.4314
469 0.4046 0.4085 0.4263
470 0.404 0.4087 0.4263
471 0.4066 0.4048 0.435
472 0.4061 0.4102 0.4373
473 0.404 0.408 0.439
474 0.406 0.4132 0.4368
475 0.402 0.4041 0.4285
476 0.401 0.4035 0.4261
477 0.4074 0.4077 0.4343
478 0.4106 0.4096 0.4356
479 0.4044 0.4042 0.4376
480 0.4028 0.4095 0.4338
481 0.406 0.4023 0.4303
482 0.4023 0.4107 0.4362
483 0.4067 0.4072 0.4317
484 0.4109 0.4109 0.4346
485 0.4021 0.4069 0.4272
486 0.4125 0.4089 0.4337
487 0.4061 0.4064 0.4325
488 0.4066 0.4085 0.4349
489 0.3975 0.4038 0.4362
490 0.4059 0.4103 0.4288
491 0.4057 0.4031 0.4365
492 0.4063 0.4067 0.423
493 0.4063 0.407 0.4325
494 0.4074 0.404 0.435
495 0.4113 0.4067 0.4271
496 0.4065 0.4159 0.4377
497 0.4051 0.4103 0.431
498 0.403 0.4109 0.4215
499 0.4066 0.4047 0.4317
500 0.401 0.4028 0.4378
501 0.4086 0.4087 0.4275
502 0.4007 0.4076 0.4365
503 0.4029 0.4124 0.4329
504 0.4046 0.408 0.4261
505 0.4039 0.406 0.4325
506 0.3982 0.4072 0.4369
507 0.4035 0.4066 0.4229
508 0.3982 0.4085 0.4369
509 0.4059 0.4116 0.4356
510 0.403 0.4083 0.4284
511 0.401 0.4086 0.4398
512 0.4018 0.4057 0.4315
513 0.4033 0.4071 0.4281
514 0.3967 0.4028 0.4458
515 0.4065 0.4044 0.434
516 0.4042 0.4067 0.4327
517 0.4033 0.4091 0.4277
518 0.4027 0.4097 0.4332
519 0.398 0.4059 0.4393
520 0.3997 0.4013 0.4306
521 0.4028 0.4072 0.4385
522 0.3969 0.4071 0.4392
523 0.401 0.401 0.4372
524 0.4015 0.4068 0.4315
525 0.3992 0.4097 0.4279
526 0.4024 0.4095 0.4376
527 0.4047 0.4087 0.4392
528 0.3971 0.4064 0.4367
529 0.3995 0.4084 0.4327
530 0.3945 0.4062 0.4297
531 0.402 0.4056 0.4412
532 0.4004 0.4068 0.4425
533 0.4063 0.4086 0.4323
534 0.4018 0.4066 0.4289
535 0.4029 0.4091 0.4332
536 0.3961 0.4087 0.429
537 0.3972 0.4087 0.4302
538 0.4035 0.4056 0.4329
539 0.3959 0.4086 0.4345
540 0.3981 0.4097 0.4307
541 0.3984 0.4113 0.4333
542 0.397 0.4078 0.4298
543 0.3996 0.406 0.4342
544 0.4075 0.4067 0.4338
545 0.3992 0.4062 0.4324
546 0.4024 0.4071 0.4278
547 0.4072 0.4112 0.4384
548 0.395 0.408 0.4343
549 0.3993 0.4089 0.4275
550 0.3991 0.4062 0.4264
551 0.3967 0.4101 0.4331
552 0.4003 0.4083 0.4288
553 0.399 0.406 0.4324
554 0.3958 0.4086 0.442
555 0.4048 0.4008 0.4323
556 0.4003 0.4068 0.4418
557 0.3982 0.4023 0.4374
558 0.3951 0.4093 0.4389
559 0.3988 0.4088 0.4348
560 0.3954 0.4088 0.4342
561 0.3978 0.4046 0.4261
562 0.3981 0.408 0.4275
563 0.3982 0.4017 0.4368
564 0.4004 0.4102 0.4304
565 0.398 0.4103 0.4334
566 0.3996 0.4101 0.4305
567 0.4003 0.4094 0.4239
568 0.4025 0.4098 0.43
569 0.4 0.406 0.4269
570 0.3964 0.4046 0.4371
571 0.4022 0.4067 0.4307
572 0.4004 0.4104 0.4282
573 0.4 0.4085 0.4335
574 0.3961 0.4089 0.4365
575 0.3989 0.4051 0.4393
576 0.3955 0.4015 0.4344
577 0.3985 0.4042 0.4355
578 0.4035 0.4104 0.4324
579 0.4054 0.4091 0.4329
580 0.3974 0.4039 0.4411
581 0.4033 0.4089 0.435
582 0.3925 0.404 0.4299
583 0.3992 0.4066 0.4288
584 0.3962 0.4026 0.4366
585 0.4004 0.4101 0.4366
586 0.3939 0.4112 0.4332
587 0.399 0.4018 0.4354
588 0.3994 0.408 0.4256
589 0.3958 0.4045 0.4302
590 0.3961 0.407 0.4342
591 0.4031 0.4092 0.4375
592 0.3933 0.4039 0.4415
593 0.3966 0.4 0.4366
594 0.3979 0.4059 0.4376
595 0.3976 0.4081 0.4362
596 0.3933 0.4049 0.4328
597 0.4008 0.4104 0.4341
598 0.3975 0.4042 0.4318
599 0.3991 0.4076 0.441
600 0.3941 0.4078 0.4266
