,1% Greedy,5 %Greedy,Bayes By BackProp,Greedy
438,790,720,1190,770
439,790,720,1190,770
440,790,720,1190,770
441,790,720,1190,770
442,790,715,1190,770
443,790,715,1190,770
444,790,715,1190,770
445,790,715,1190,770
446,790,715,1190,770
447,790,715,1190,770
448,790,715,1190,770
449,790,715,1195,770
450,790,715,1195,770
451,790,715,1195,770
452,790,715,1195,770
453,790,715,1195,770
454,790,715,1195,770
455,790,715,1190,770
456,790,715,1190,770
457,790,715,1190,770
458,790,715,1190,770
459,790,715,1195,770
460,790,715,1195,770
461,790,715,1195,770
462,790,715,1195,770
463,790,715,1195,770
464,790,715,1195,770
465,790,715,1195,770
466,790,715,1230,770
467,790,715,1235,770
468,790,715,1235,770
469,790,715,1235,770
470,790,715,1240,770
471,790,715,1240,770
472,790,715,1240,770
473,790,715,1240,770
474,790,715,1240,770
475,790,715,1240,770
476,790,715,1240,770
477,790,715,1245,770
478,790,715,1245,770
479,790,715,1250,770
480,790,715,1250,770
481,790,715,1255,770
482,790,715,1255,770
483,790,715,1260,770
484,790,715,1265,770
485,790,715,1265,770
486,790,715,1265,770
487,790,715,1270,770
488,790,715,1270,770
489,790,715,1275,770
490,790,715,1275,770
491,790,715,1275,770
492,790,715,1275,770
493,790,715,1280,770
494,790,715,1280,770
495,790,715,1275,770
496,790,715,1280,770
497,790,715,1285,770
498,790,715,1285,770
499,790,715,1285,770
500,790,715,1285,770
501,790,715,1285,770
502,790,715,1285,770
503,790,715,1285,770
504,790,715,1285,765
505,790,715,1285,765
506,790,715,1290,765
507,790,715,1290,765
508,790,715,1290,765
509,790,715,1290,765
510,790,720,1290,765
511,790,720,1290,765
512,790,720,1295,765
513,790,720,1295,765
514,790,720,1295,765
515,790,720,1295,765
516,790,720,1295,765
517,790,720,1290,765
518,790,720,1290,765
519,790,720,1290,765
520,790,720,1290,765
521,790,720,1290,765
522,790,720,1290,765
523,790,725,1290,765
524,790,725,1295,765
525,790,725,1295,765
526,790,725,1295,765
527,790,725,1295,765
528,790,725,1295,765
529,790,725,1295,765
530,790,725,1295,765
531,790,725,1295,765
532,790,725,1295,765
533,790,725,1295,765
534,785,725,1295,765
535,785,725,1300,765
536,785,725,1300,765
537,785,725,1305,765
538,785,730,1310,765
539,780,730,1310,765
540,780,735,1315,765
541,780,735,1315,765
542,780,735,1315,765
543,780,735,1320,765
544,780,735,1320,765
545,780,735,1320,765
546,780,735,1320,765
547,780,735,1320,765
548,780,735,1320,765
549,780,735,1320,765
550,780,735,1355,765
551,780,735,1355,765
552,780,735,1355,765
553,780,735,1355,765
554,780,735,1355,765
555,780,735,1360,765
556,780,735,1360,765
557,780,735,1355,765
558,780,735,1355,765
559,780,735,1355,765
560,780,735,1360,765
561,780,735,1360,765
562,780,735,1395,765
563,780,735,1395,765
564,780,735,1395,765
565,780,735,1395,765
566,780,735,1400,765
567,780,735,1400,765
568,780,735,1400,765
569,780,735,1400,800
570,780,735,1400,800
571,780,735,1400,800
572,780,735,1405,800
573,780,735,1405,800
574,780,735,1405,800
575,780,735,1410,800
576,780,740,1410,800
577,780,740,1415,800
578,780,740,1415,800
579,780,740,1415,800
580,780,740,1415,800
581,780,740,1420,800
582,780,740,1420,800
583,780,740,1420,800
584,780,740,1420,800
585,780,740,1420,800
586,780,740,1420,800
587,780,740,1420,835
588,780,740,1420,835
589,780,745,1420,835
590,780,745,1415,835
591,780,745,1420,835
592,780,745,1420,835
593,780,745,1420,835
594,780,745,1420,835
595,780,745,1425,835
596,780,745,1430,835
597,780,745,1430,835
598,780,745,1430,835
599,780,745,1435,835
600,780,745,1435,835
601,780,745,1440,835
602,780,745,1445,835
603,780,745,1445,835
604,780,745,1450,835
605,780,745,1455,835
606,780,745,1455,835
607,780,745,1460,835
608,780,745,1460,835
609,815,745,1460,835
610,815,745,1460,835
611,815,745,1460,835
612,815,745,1465,835
613,815,745,1465,835
614,815,745,1465,835
615,815,745,1465,870
616,815,745,1465,870
617,815,745,1465,870
618,815,745,1465,870
619,815,740,1465,870
620,815,740,1465,905
621,815,740,1470,905
622,815,740,1470,905
623,815,740,1470,905
624,815,740,1470,905
625,815,740,1470,905
626,815,740,1470,905
627,815,740,1470,905
628,815,740,1470,905
629,815,740,1470,905
630,815,740,1470,905
631,815,740,1470,940
632,815,740,1470,940
633,815,740,1470,940
634,815,740,1470,940
635,815,740,1470,940
636,815,740,1470,940
637,815,740,1470,940
638,815,740,1470,940
639,815,740,1470,940
640,815,740,1470,940
641,815,740,1475,940
642,815,740,1475,940
643,815,740,1475,940
644,815,740,1475,940
645,815,740,1475,940
646,815,740,1475,940
647,815,740,1475,940
648,815,740,1475,940
649,815,740,1475,940
650,815,740,1475,940
651,815,740,1475,940
652,815,740,1475,940
653,815,740,1475,940
654,815,740,1475,940
655,815,740,1475,940
656,815,740,1475,940
657,815,740,1475,940
658,815,740,1480,940
659,815,740,1480,940
660,815,740,1480,940
661,815,745,1485,940
662,815,745,1485,940
663,815,745,1480,940
664,815,745,1480,940
665,815,745,1480,940
666,815,745,1480,940
667,815,745,1480,940
668,815,745,1480,940
669,810,745,1480,940
670,810,745,1480,940
671,810,745,1480,940
672,810,745,1480,940
673,810,745,1485,940
674,810,745,1490,940
675,810,745,1490,940
676,810,745,1490,940
677,810,745,1495,940
678,810,745,1495,940
679,810,745,1495,940
680,810,745,1495,940
681,810,745,1495,940
682,810,745,1495,940
683,810,745,1495,940
684,810,745,1495,940
685,810,745,1495,940
686,810,745,1495,940
687,810,745,1495,940
688,810,745,1495,940
689,810,745,1495,940
690,810,745,1495,975
691,810,745,1495,975
692,810,745,1495,975
693,810,745,1495,975
694,810,745,1495,975
695,810,750,1495,975
696,810,750,1495,975
697,810,750,1495,975
698,810,750,1500,975
699,810,750,1500,975
700,810,750,1500,970
701,810,750,1500,970
702,810,750,1500,970
703,810,750,1500,970
704,810,750,1505,970
705,810,750,1510,970
706,810,750,1510,970
707,810,750,1510,970
708,810,750,1515,970
709,810,750,1520,970
710,810,750,1525,970
711,810,750,1525,970
712,810,750,1525,970
713,810,750,1525,970
